zip,total_education_count,hs_diploma,some_college,associates,bachelors,advanced_degree
69140,1231,395,378,139,146,95
69141,248,86,72,26,39,5
69142,88,30,14,6,11,10
69143,938,333,225,154,147,39
69144,118,31,11,17,54,0
69145,2192,731,642,143,239,112
69146,274,149,78,3,29,8
69147,443,155,135,42,76,27
69148,153,62,33,13,32,3
69149,490,145,160,66,68,13
69150,356,115,100,20,44,10
69151,646,240,219,64,59,19
69152,632,213,175,58,110,42
69153,3945,1205,976,561,563,337
69154,1036,367,286,89,138,77
69155,693,164,193,103,120,42
69156,444,116,167,46,58,16
69157,14,7,0,4,3,0
69161,68,31,15,7,7,0
69162,5468,1590,1559,623,996,397
69163,547,181,166,54,78,16
69165,1320,478,415,155,149,67
69166,471,107,151,84,96,23
69167,245,77,63,26,49,19
69168,181,47,50,17,24,27
69169,420,74,153,58,81,8
69170,293,104,85,51,33,6
69171,11,6,5,0,0,0
69201,2951,998,857,300,424,167
69210,1846,655,477,130,249,127
69211,278,56,45,27,53,8
69212,199,59,73,31,20,14
69214,187,45,34,36,53,0
69216,100,29,17,10,11,7
69217,257,125,58,23,13,5
69218,99,53,14,12,16,0
69219,60,5,26,13,4,6
69220,39,18,5,5,11,0
69221,123,8,38,43,16,9
69301,6673,2377,1910,781,715,298
69331,24,3,0,16,0,0
69333,147,50,41,22,17,6
69334,1529,496,378,159,200,71
69335,22,3,8,0,3,0
69336,1662,523,431,179,282,59
69337,4350,968,947,302,1235,647
69339,1148,401,306,92,145,104
69340,126,47,58,19,2,0
69341,7358,2342,2008,827,959,556
69343,1712,505,358,204,267,133
69345,358,103,120,27,40,28
69346,455,141,114,49,98,24
69347,879,333,228,59,148,51
69348,989,366,225,103,177,64
69350,247,106,63,32,26,14
69351,95,4,22,26,17,22
69352,502,246,90,53,49,4
69353,10,6,3,0,0,0
69354,104,13,55,24,12,0
69355,90,30,14,18,11,0
69356,1299,346,396,154,147,119
69357,2331,842,621,227,205,118
69358,1127,304,323,159,111,45
69360,998,303,227,70,189,78
69361,11986,3435,2676,1282,1956,897
69365,18,0,0,0,18,0
69366,179,70,50,19,33,2
69367,119,42,33,2,23,11
70001,27921,7579,6739,1735,5758,2874
70002,14086,2799,3470,708,3019,1909
70003,27752,7977,7122,1620,5186,2373
70005,18604,4544,4225,826,4330,3187
70006,11969,3242,2470,744,2667,1604
70030,3209,1573,510,189,220,132
70031,1074,449,198,95,194,49
70032,2838,1215,711,189,317,68
70036,923,400,124,11,51,8
70037,10449,3738,2508,742,1611,321
70038,315,131,0,4,12,0
70039,1261,469,275,39,229,58
70040,887,357,140,40,77,55
70041,1602,575,340,43,84,75
70043,12403,5257,2851,554,1385,468
70047,8356,2559,1872,722,1838,699
70049,1603,591,532,4,177,141
70050,22,0,10,0,0,0
70051,1331,651,303,41,64,53
70052,2293,850,436,168,321,122
70053,11505,4369,2042,487,1206,474
70056,25096,8067,6432,1684,3593,1728
70057,2789,928,510,222,294,104
70058,25429,8260,5431,1569,3662,1512
70062,10977,4432,2240,415,833,216
70065,36399,11205,8864,2257,6581,2891
70067,2065,835,366,67,136,39
70068,21132,7486,5083,1268,2555,1032
70070,8226,2805,1880,705,1489,410
70071,2364,877,490,246,163,143
70072,36797,14350,7741,1934,3289,1052
70075,3121,1217,751,229,381,19
70076,222,97,19,0,0,0
70079,1935,976,328,227,106,60
70080,992,517,194,23,90,14
70082,213,113,16,0,0,30
70083,1564,671,250,20,47,21
70084,5091,2181,761,351,380,156
70085,2891,1277,511,113,136,45
70086,1290,690,217,82,78,39
70087,5623,1870,1500,564,613,130
70090,5445,2550,951,363,475,196
70091,121,30,18,0,7,0
70092,4878,2136,946,163,426,34
70094,20605,8049,4722,955,1597,415
70112,2039,338,387,62,367,470
70113,5574,1764,868,130,553,404
70114,15376,4760,3867,631,1625,1117
70115,26116,4083,4311,643,7420,7274
70116,9607,2128,2162,397,1938,1446
70117,16734,5025,3613,562,2236,1409
70118,21017,3876,3245,853,5401,4944
70119,26805,7072,5683,1087,4956,3272
70121,9312,2869,2271,441,1484,763
70122,22117,5729,5532,1319,3935,2520
70123,19928,5208,4918,1262,4768,2274
70124,14262,1482,2641,810,4917,4026
70125,10439,2333,1906,357,2341,1885
70126,15417,4978,4205,784,1788,1026
70127,14457,4744,4383,962,1432,566
70128,11859,3188,3676,641,1567,1079
70129,6440,1714,1405,310,587,249
70130,11607,1379,1977,516,3844,2904
70131,20289,5561,4937,1071,4318,2332
70139,0,0,0,0,0,0
70163,0,0,0,0,0,0
70301,28571,10121,4595,1284,3696,2280
