thedate,regionid,regionname,state,metro,county,city,sizerank,zhvi,mom,qoq,yoy,change_5year,change_10year,peakmonth,peakquarter,peakzhvi,pctfallfrompeak,lasttimeatcurrzhvi
2015-12-31,100167,99218,WA,Spokane,Spokane,Fairwood,7667,205600,0.00587084148727984,0.0223769269020388,0.0959488272921109,0.0184033832890242,0.00357464140548713,2008-02,2008-Q1,225400,-0.0878438331854481,2006-05
2015-12-31,59257,3865,NH,Boston,Rockingham,Plaistow,7668,224300,0,-0.00532150776053215,0.0265446224256293,0.0318014506983575,-0.020172423960433,2005-07,2005-Q3,281300,-0.202630643441166,2003-03
2015-12-31,85278,62034,IL,St. Louis,Madison,Glen Carbon,7669,177600,0.00282326369282891,0.00966458214894827,0.0313588850174216,-0.00357710936610334,0.00153836006849772,2010-05,2010-Q2,183900,-0.034257748776509,2009-04
2015-12-31,89802,72908,AR,Fort Smith,Sebastian,Fort Smith,7670,122400,-0.000816326530612245,0.000817661488143908,0.0425894378194208,0.00348151661031793,0.0104168995396643,2015-07,2015-Q3,122900,-0.00406834825061025,2015-06
2015-12-31,97158,93219,CA,Visalia,Tulare,Earlimart,7671,136300,0.0073909830007391,0.0412528647822765,0.16,0.0540132858049727,0.0109055716108379,2008-01,2008-Q1,170100,-0.198706643151088,2006-06
2015-12-31,72535,33316,FL,Miami-Fort Lauderdale,Broward,Fort Lauderdale,7672,496400,0.011616058691665,0.0182564102564103,0.0924295774647887,0.0774867614142414,-0.00736769221494571,2006-01,2006-Q1,539900,-0.0805704760140767,2005-07
2015-12-31,74169,37090,TN,Nashville,Wilson,Lebanon,7673,222500,0.0122838944494995,0.0372960372960373,0.123170116102978,0.0458752162511349,0.031185218417747,2015-12,2015-Q4,222500,0,2015-12
2015-12-31,97217,93301,CA,Bakersfield,Kern,Bakersfield,7674,178600,0.0113250283125708,0.0317735413056037,0.11625,0.0955573657886315,-0.0284807331412796,2006-10,2006-Q4,252000,-0.291269841269841,2005-02
2015-12-31,62151,11558,NY,New York,Nassau,Island Park,7675,386200,-0.000776196636481242,-0.0122762148337596,-0.028672032193159,-0.0181957502137143,-0.0239433270639723,2007-05,2007-Q2,517300,-0.253431277788517,2003-11
2015-12-31,69662,28016,NC,Charlotte,Gaston,Bessemer City,7676,90700,-0.00110132158590308,-0.00110132158590308,0.104750304506699,0.0281997168776609,0.00313364646104985,2007-12,2007-Q4,93400,-0.0289079229122056,2007-03
2015-12-31,95381,87501,NM,Santa Fe,Santa Fe,Santa Fe,7677,419400,0,-0.00592557478075373,0.0350444225074037,-0.0163785090950587,0.0251047409845231,2009-07,2009-Q3,561800,-0.253470986116056,2008-10
2015-12-31,65710,19030,PA,Philadelphia,Bucks,Fairless Hills,7678,228900,-0.00130890052356021,-0.000436681222707424,0.0123839009287926,0.000352019800331727,-0.00814992361563838,2007-12,2007-Q4,259900,-0.119276644863409,2005-05
