zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
03765,41,11,47,7,22
03766,1629,369,297,265,704
03768,424,63,48,59,257
03770,49,33,18,25,60
03771,44,20,51,29,15
03773,269,80,261,373,208
03774,44,19,63,70,57
03777,156,52,54,42,157
03779,97,25,9,35,42
03780,17,0,4,0,15
03781,320,81,62,58,146
03782,381,85,126,235,463
03784,552,52,97,100,257
03785,100,45,68,29,78
03801,3204,699,1860,835,2641
03809,473,38,111,138,95
03810,74,0,155,25,57
03811,773,148,504,248,230
03812,72,2,67,0,69
03813,369,51,111,68,168
03814,112,11,68,28,65
03816,101,19,59,38,102
03817,33,9,0,41,57
03818,217,49,91,95,117
03819,269,98,176,49,267
03820,3161,655,1395,878,2105
03823,300,51,99,53,115
03824,1668,171,440,335,835
03825,887,219,486,346,563
03826,309,30,149,52,73
03827,303,104,182,119,141
03830,89,15,36,45,102
03832,37,24,12,24,40
03833,2518,650,1217,622,1940
03835,262,61,160,50,221
03836,96,28,17,38,81
03837,114,34,70,108,66
03838,216,61,50,101,128
03839,165,54,131,123,109
03840,616,159,411,74,237
03841,598,192,311,253,255
03842,1725,458,1103,710,1251
03844,313,59,253,88,208
03845,81,48,0,89,127
03846,277,27,80,45,55
03847,35,34,0,29,0
03848,501,84,261,172,263
03849,103,46,15,73,67
03850,10,6,11,0,14
03851,195,26,92,43,69
03852,16,0,19,22,51
03853,74,30,43,32,94
03854,163,41,109,61,161
03855,207,66,125,100,72
03856,187,60,84,92,160
03857,990,241,428,288,674
03858,232,100,283,109,180
03860,187,36,207,173,208
03861,867,55,257,195,381
03862,580,207,296,182,363
03864,52,1,26,27,97
03865,428,87,227,109,333
03867,899,268,962,388,527
03868,127,63,173,109,174
03869,254,47,92,93,159
03870,492,71,633,128,710
03872,278,67,130,95,162
03873,284,59,211,203,217
03874,326,92,231,45,129
03875,95,6,68,21,70
03878,758,329,341,188,361
03882,59,4,31,46,30
03883,0,0,8,0,19
03884,461,93,130,145,293
03885,1106,272,749,305,598
03886,77,14,36,97,146
03887,54,10,21,31,41
03890,0,0,0,0,9
03894,598,188,312,396,448
03901,381,254,258,179,385
03902,394,122,136,79,189
03903,509,171,262,101,515
03904,672,246,304,193,590
03905,119,97,30,65,245
03906,319,77,138,127,178
03907,93,35,123,129,154
03908,799,165,274,213,449
03909,1341,378,775,372,808
03910,40,0,0,0,48
03911,28,0,12,0,15
04001,105,34,70,78,129
04002,332,163,159,172,243
04003,69,9,61,14,59
04005,1035,409,582,627,863
04006,47,16,6,0,6
04008,322,45,88,95,171
04009,371,155,198,80,241
04010,80,22,6,63,57
04011,2252,608,655,724,1472
04015,211,43,87,110,198
04017,71,6,17,45,62
04020,61,20,20,57,61
04021,972,236,437,269,548
04022,100,21,37,43,66
04024,36,7,17,18,13
04027,97,0,165,38,157
04029,86,12,56,73,104
04030,18,77,48,13,103
04032,999,423,321,346,657
04037,153,114,69,143,199
04038,1827,376,788,538,1225
04039,555,214,227,154,289
04040,267,77,92,111,148
04041,39,16,20,33,48
04042,161,56,154,37,169
04043,1493,387,645,674,1030
04046,689,225,317,424,602
04047,47,12,28,56,44
04048,168,29,19,98,82
04049,136,39,68,194,63
04050,30,11,4,14,23
04051,70,20,24,38,121
04055,172,100,90,74,145
04056,3,0,9,3,3
04061,122,99,88,83,72
04062,1158,362,590,587,844
04063,28,0,34,34,47
04064,637,97,372,218,490
04066,63,20,40,50,52
04068,54,13,14,59,67
04069,151,61,52,40,108
04071,324,95,256,219,294
04072,1414,334,679,658,1102
04073,628,227,276,365,710
04074,1992,659,1735,653,1272
04076,57,9,39,77,72
04079,484,115,174,261,347
04083,227,105,105,121,99
04084,483,226,245,385,290
04085,134,21,37,36,111
04086,765,225,438,351,752
04087,97,26,11,35,50
04088,85,13,3,29,44
04090,658,271,254,594,443
04091,78,20,8,11,28
04092,1113,245,761,479,839
04093,428,193,205,270,277
04095,42,11,15,25,33
04096,1262,265,471,550,1044
04097,521,115,147,190,330
04101,1821,319,682,410,2117
04102,1958,493,703,556,2172
04103,3329,1018,1177,1149,3263
04105,2243,392,959,528,1392
04106,2535,801,1058,767,2044
04107,1618,344,562,287,1186
04108,141,9,20,61,223
04109,31,0,0,15,29
04110,232,70,117,72,234
04210,1294,343,766,738,821
04216,21,7,11,7,23
04217,305,99,46,139,157
04219,80,13,21,46,28
04220,129,44,60,116,88
04221,65,12,8,44,41
04222,349,112,222,86,265
