zip,science_and_eng_field,science_and_eng_related_field,business_field,education_field,arts_humanities_field
14808,9,0,0,15,0
14809,108,38,50,69,37
14810,474,177,177,381,262
14812,101,55,56,58,37
14813,69,36,35,97,86
14814,224,92,70,77,82
14815,35,6,11,13,16
14816,22,19,0,18,27
14817,436,64,31,93,165
14818,51,5,5,31,96
14819,13,0,2,8,7
14820,7,2,0,6,14
14821,91,37,61,45,39
14822,26,14,4,25,33
14823,66,55,39,106,99
14824,61,0,3,4,11
14825,38,5,4,38,24
14826,50,7,20,45,65
14827,14,0,0,12,0
14830,1717,220,689,721,891
14836,60,5,41,32,26
14837,195,57,78,317,106
14838,75,3,8,41,50
14839,8,5,9,11,11
14840,253,63,123,192,179
14841,99,16,61,53,24
14842,92,8,7,38,50
14843,464,74,188,548,427
14845,1878,673,847,1014,900
14846,7,6,9,2,22
14847,129,36,47,107,95
14850,10780,1458,1338,1745,5625
14853,0,0,5,0,0
14854,0,7,0,0,0
14855,4,3,15,23,10
14858,46,4,33,40,23
14859,16,16,8,39,0
14860,49,26,7,49,28
14861,25,17,10,28,22
14864,58,25,0,63,2
14865,58,20,39,32,80
14867,306,128,112,137,416
14869,40,8,18,29,26
14870,1120,162,424,414,321
14871,193,94,110,250,144
14872,21,27,18,0,10
14873,90,44,11,42,67
14874,11,2,6,9,0
14877,14,12,12,9,22
14878,69,0,2,40,38
14879,32,18,16,75,62
14880,27,16,18,42,19
14881,23,0,16,17,71
14882,620,124,81,261,308
14883,230,71,19,84,115
14884,7,0,0,4,3
14885,13,6,0,48,6
14886,773,134,134,180,543
14889,52,6,29,20,59
14891,163,51,110,158,137
14892,190,139,127,283,135
14894,21,13,3,44,18
14895,381,146,167,318,248
14897,19,0,14,14,10
14898,28,4,8,27,20
14901,373,150,156,261,253
14903,424,115,158,190,142
14904,434,115,199,212,330
14905,979,209,556,497,439
15001,1378,713,1295,1256,963
15003,460,185,236,224,475
15004,21,10,0,9,9
15005,669,248,457,441,391
15006,0,0,25,0,16
15007,0,0,15,30,8
15009,1154,434,764,944,674
15010,1158,439,778,1172,992
15012,664,353,642,560,469
15014,123,60,123,85,61
15015,234,96,136,76,122
15017,1647,275,1297,702,956
15018,0,0,13,17,12
15019,35,28,38,43,20
15020,0,0,30,0,0
15021,242,142,180,174,156
15022,333,133,213,350,301
15024,680,249,430,321,322
15025,1149,380,838,621,670
15026,138,40,126,27,91
15027,45,4,72,94,41
15028,8,0,0,0,10
15030,48,7,32,15,32
15031,9,0,17,0,59
15033,144,76,101,130,95
15034,70,17,70,51,52
15035,101,26,25,43,54
15037,464,292,334,565,318
15042,331,146,374,279,116
15043,44,14,75,61,31
15044,3198,1035,2541,1388,1422
15045,125,40,120,95,85
15046,128,72,133,66,125
15047,0,8,0,0,0
15049,33,21,62,23,25
15050,40,18,43,61,25
15051,0,0,14,28,6
15052,101,61,84,83,66
15054,12,0,0,0,7
15055,95,54,90,71,83
15056,115,24,61,31,58
15057,1274,378,832,433,482
15059,42,25,87,115,106
15060,21,8,15,5,11
15061,616,177,593,405,484
15062,179,130,158,231,202
15063,387,251,250,345,338
15064,45,0,0,0,0
15065,463,259,407,369,446
15066,365,139,377,466,334
15067,54,29,34,97,14
15068,2091,771,1313,1203,1124
15071,735,419,609,404,531
15072,12,0,0,0,0
15074,301,130,230,317,132
15076,0,17,0,38,42
15077,0,0,1,0,0
15078,24,0,0,0,24
15081,12,3,4,4,6
15083,43,17,14,30,2
15084,443,91,157,307,181
15085,546,203,354,281,257
15086,36,0,65,0,0
15088,8,5,6,8,7
15089,221,119,145,220,64
15090,4480,811,2826,807,1399
15101,3029,1019,1636,1066,1577
15102,2724,1016,2844,1422,1862
15104,127,93,107,90,109
15106,1035,336,1024,663,788
15108,4265,1079,3145,1513,2188
15110,136,46,83,36,121
15112,181,47,151,58,98
15116,1289,610,977,1010,737
15120,903,266,625,359,716
15122,791,290,769,564,518
15126,465,73,404,196,419
15129,963,299,699,503,523
15131,503,217,231,398,288
15132,506,182,326,355,388
15133,216,98,91,133,141
15135,223,135,241,155,208
15136,1237,518,1008,489,692
15137,450,88,343,202,299
15139,730,226,417,302,515
15140,110,19,109,78,97
15142,206,81,94,109,90
15143,3244,704,1686,922,1515
15144,162,176,128,93,127
15145,180,56,171,215,161
15146,3145,1059,1480,964,1536
15147,984,411,588,324,821
15148,76,26,14,23,69
15201,1136,357,490,340,1345
15202,1526,528,990,534,1405
15203,1020,269,605,225,833
15204,360,68,269,166,163
15205,1827,481,1393,696,1304
15206,3738,696,935,615,2787
15207,729,167,205,319,408
15208,1213,233,414,318,692
15209,755,392,786,359,573
15210,794,179,421,385,594
15211,1407,163,710,225,885
15212,1930,333,1020,558,1512
15213,2423,556,397,578,1232
15214,695,257,592,447,826
15215,1737,465,675,404,1300
15216,1950,617,1330,695,1811
15217,6556,975,1083,1193,3498
15218,1802,327,718,617,1275
15219,420,119,234,164,371
15220,2447,550,1160,748,1142
15221,2690,770,1213,948,2200
15222,648,99,258,142,302
15223,381,125,214,134,229
15224,1134,248,300,162,985
15225,44,8,30,12,25
15226,711,330,547,359,726
15227,1858,645,1370,667,976
15228,2852,753,1591,877,2014
15229,1429,365,758,549,829
15232,3607,325,830,240,1552
15233,218,24,135,90,141
15234,1166,393,663,505,768
15235,2242,746,1598,1078,1565
15236,2131,773,1500,1233,1485
15237,5126,1676,3651,2002,3050
15238,2492,455,1079,666,1124
15239,1526,438,1378,895,866
15241,3668,950,2112,1079,1553
15243,1981,546,1119,950,1223
15301,2314,1092,1641,1669,1435
15310,2,0,0,2,20
15311,59,17,59,92,46
15312,123,77,129,86,59
15313,21,0,14,7,14
15314,149,65,80,103,89
15315,35,6,16,11,0
15316,0,3,0,4,0
15317,3580,1220,3075,1944,1830
15320,227,140,87,136,339
15321,109,54,93,84,60
15322,67,27,18,33,60
15323,165,70,61,145,127
15324,19,4,5,15,12
15325,0,0,0,12,0
15327,18,8,10,15,5
15329,36,18,34,67,47
15330,378,148,393,148,162
15331,36,18,17,23,20
15332,314,131,296,289,258
15333,61,48,23,92,43
15334,2,0,15,3,0
15337,24,0,3,12,18
15338,22,25,33,55,54
15340,154,20,2,30,52
15341,17,16,6,32,20
15342,208,16,311,183,98
15344,81,26,23,56,17
15345,39,0,28,37,35
15346,16,5,10,24,4
15347,48,0,0,0,0
15348,38,0,0,27,6
15349,54,50,5,43,35
15350,19,0,0,8,0
15351,0,18,0,17,94
15352,23,8,6,8,16
15353,4,0,0,0,2
15357,26,28,33,164,21
15358,12,0,10,45,46
15359,3,0,0,3,2
15360,83,35,39,56,53
15362,14,23,2,13,13
15363,14,0,24,0,44
15364,16,13,9,37,12
15366,5,9,0,0,0
15367,1282,392,1095,338,521
15368,0,0,7,0,5
15370,533,298,261,375,402
15376,60,49,27,23,45
15377,15,9,16,8,9
15379,4,5,1,1,5
15380,3,2,2,14,8
15401,1003,600,571,1030,726
15410,16,0,0,29,0
15411,24,4,18,28,24
15412,23,5,8,25,30
15417,275,190,122,293,222
15419,175,76,52,153,148
15421,0,0,30,0,0
15423,114,53,46,104,38
15424,59,41,23,67,47
15425,435,224,295,286,282
15427,42,32,19,89,36
15428,46,6,14,21,17
15429,0,0,0,9,6
15430,0,0,5,0,0
15431,51,22,79,73,126
15432,9,2,9,10,11
15433,22,16,19,28,0
15434,1,0,10,4,0
15435,0,8,8,6,0
15436,80,61,23,118,39
15437,97,41,25,73,77
15438,70,50,89,53,47
15442,55,0,7,22,18
15444,0,0,0,18,0
15445,115,22,9,84,33
15446,0,0,0,74,0
15447,1,0,0,0,0
15448,0,0,0,0,8
15449,0,0,0,36,0
15450,42,0,0,19,5
15451,6,18,4,41,25
15454,77,0,0,0,0
15455,0,9,44,0,8
15456,27,13,72,67,17
15458,91,92,0,84,26
15459,9,24,0,10,17
15460,0,0,0,2,3
15461,92,46,53,111,81
15464,27,0,23,19,40
15466,4,10,4,13,5
15468,46,25,48,110,28
15469,42,63,14,34,19
15470,32,14,4,26,72
15472,56,0,0,0,18
15473,182,125,121,182,109
15474,89,7,20,44,63
15475,40,0,6,28,34
15477,18,46,7,45,19
15478,139,79,101,95,103
15479,108,32,93,26,30
15480,31,25,85,37,30
15482,10,12,0,8,0
15483,20,6,15,9,17
15484,0,8,16,0,0
15486,97,8,57,30,29
15490,0,0,23,0,82
15492,0,0,0,0,5
15501,667,275,317,492,484
15502,36,3,0,18,0
15510,23,2,8,4,33
15520,11,0,0,0,0
15521,28,19,19,28,25
15522,392,194,202,454,239
15530,120,97,74,158,67
15531,98,52,42,122,135
15532,2,0,0,0,0
15533,16,14,18,39,14
15534,19,4,2,15,23
15535,47,13,43,35,18
15536,2,8,7,4,6
15537,230,94,108,258,130
15538,27,18,12,20,9
15539,41,36,0,62,0
15540,3,4,3,5,4
15541,134,28,55,92,44
15542,10,0,3,9,1
15544,0,0,15,0,0
15545,38,12,49,24,43
15546,0,0,0,0,20
15547,17,7,10,18,13
15550,57,17,12,35,31
15551,30,8,6,20,26
15552,157,44,44,131,122
15554,70,35,23,60,49
15555,3,0,4,0,6
15557,85,39,62,97,57
15558,53,31,21,74,16
15559,56,8,25,48,41
15560,7,1,0,8,6
15561,0,0,4,0,3
15562,3,3,0,18,4
15563,78,37,59,60,60
15564,0,0,2,0,2
15601,4813,1419,2637,2548,2495
15610,128,50,58,132,134
15611,7,0,6,2,2
15612,0,20,8,0,0
15613,773,228,304,315,245
15615,5,0,0,5,14
15617,11,0,0,7,0
15618,24,14,57,40,36
15620,9,8,0,9,36
15622,111,0,39,30,41
15623,0,0,44,30,25
15624,5,0,6,1,0
15626,345,127,284,266,189
15627,108,105,126,143,182
15628,21,4,0,24,7
15629,12,2,15,30,17
15631,11,6,11,10,12
15632,1004,380,395,447,318
15633,17,0,18,41,0
15634,10,43,0,0,16
15636,308,196,369,209,119
15637,39,52,56,71,53
15639,92,42,41,117,87
15640,49,0,0,8,0
15641,23,3,11,3,7
15642,3793,1448,2684,1801,1622
15644,957,455,613,613,670
15646,7,0,0,0,4
15650,1340,486,1036,718,809
15655,84,8,6,0,11
15656,379,156,243,371,281
15658,688,172,378,240,502
15660,10,0,12,6,5
15661,0,0,0,31,9
15663,1,7,13,27,5
15665,47,42,100,21,12
15666,842,296,334,383,386
15668,2246,505,1120,659,732
15670,128,67,84,177,145
15671,72,0,20,10,6
15672,194,102,177,129,145
15673,36,3,65,49,16
15675,26,0,22,7,16
15676,16,46,0,18,0
15677,12,0,54,0,60
15678,0,0,7,0,0
15679,134,4,46,105,75
15680,0,0,0,7,0
15681,192,64,75,131,108
15683,232,148,135,270,241
15684,39,16,16,0,6
15686,21,13,13,47,9
15687,48,0,0,0,29
15688,0,19,20,0,5
15690,175,45,118,225,175
15692,35,58,0,50,0
15695,0,0,11,0,0
15696,16,5,2,8,9
15697,118,36,27,80,49
15698,14,7,22,0,6
15701,1944,886,1241,1686,1873
15711,9,0,13,3,10
15714,128,101,95,176,44
15715,9,3,6,23,22
15717,322,170,376,296,144
15721,4,0,2,0,0
15722,46,23,39,69,24
15723,0,0,0,6,0
15724,46,13,22,42,28
15725,32,14,60,24,20
15727,9,8,0,0,0
15728,75,44,72,76,46
15729,17,0,15,60,25
15730,5,3,0,0,0
15731,37,0,21,55,7
15732,40,24,34,32,25
15733,0,4,0,8,6
15734,7,0,0,7,19
15736,21,5,18,57,13
15737,0,0,2,0,10
15738,0,3,0,10,0
15739,18,5,4,11,11
15741,0,2,0,0,0
15742,27,3,3,21,2
15744,7,0,0,4,0
15745,7,3,0,5,5
15747,36,34,25,45,22
15748,211,143,117,202,178
15753,6,4,13,8,0
15756,13,0,0,0,0
15757,20,9,11,28,25
15759,64,42,64,93,62
15760,0,0,0,9,0
15762,53,27,19,21,28
15764,3,0,0,7,11
15765,32,27,77,95,50
15767,416,227,211,518,203
15770,0,0,0,5,0
15771,56,13,8,36,11
15772,22,2,16,20,6
15773,6,12,6,19,8
15774,201,160,54,102,202
15775,20,24,33,4,0
15776,9,0,0,4,0
15778,1,0,0,8,0
15779,23,0,0,0,1
15781,0,0,3,3,0
15784,3,1,3,4,0
15801,694,341,434,763,513
15821,5,3,9,10,0
15823,48,25,34,71,17
15824,94,42,86,198,68
15825,301,99,169,315,226
15827,3,0,0,0,2
15828,6,5,5,8,4
15829,13,16,15,54,5
15832,10,0,2,6,5
15834,90,67,88,137,120
15840,35,10,17,52,23
15841,0,11,9,13,0
15845,64,11,23,85,11
15846,100,71,108,96,103
15847,0,3,6,0,0
15848,28,15,19,28,8
15849,19,18,12,6,14
15851,154,60,34,144,102
15853,249,89,107,252,72
15856,22,5,18,16,10
15857,496,206,265,286,336
15860,21,21,21,62,16
15861,6,2,4,0,2
15863,0,3,0,3,0
15864,60,39,61,62,26
15865,15,4,7,28,51
15866,4,8,4,3,4
15868,3,23,36,41,60
15870,48,29,11,26,24
15901,101,16,34,36,37
15902,309,142,226,211,170
15904,1034,386,601,589,470
15905,1633,643,953,940,821
15906,232,55,148,134,119
15909,117,135,107,80,63
15920,43,28,15,27,0
15922,5,5,4,0,0
15923,22,12,20,38,44
15924,27,12,0,26,17
15925,4,1,2,0,0
15926,92,41,53,71,61
15927,13,8,25,29,0
15928,144,68,96,107,37
15929,0,4,0,0,0
15931,572,298,272,434,382
15934,18,0,34,25,13
15935,76,30,12,50,73
15936,29,34,23,11,28
15937,0,50,0,0,0
15938,62,67,42,50,46
15940,119,68,114,49,69
15942,78,75,17,72,69
15943,92,103,81,70,56
15944,116,36,35,79,40
15945,0,5,6,7,0
15946,262,154,177,236,97
15948,23,14,0,0,11
15949,0,0,0,0,17
15951,0,14,14,13,0
15952,51,14,58,59,0
15953,0,0,0,18,0
15954,57,41,54,40,28
15955,49,25,35,131,72
15956,19,32,7,29,23
15957,26,4,25,5,28
15958,116,40,50,40,27
15960,15,0,19,7,7
15961,34,9,10,17,9
15962,1,2,5,5,1
15963,353,268,197,393,246
16001,1884,679,1177,1632,1314
16002,791,364,716,644,472
16020,16,3,3,24,58
16022,5,0,1,12,2
16023,177,68,58,99,88
16024,0,0,0,2,7
16025,123,112,118,140,94
16027,12,3,20,13,8
16028,43,33,33,69,23
16029,4,12,28,5,5
16030,0,0,5,10,2
16033,312,161,281,116,208
16034,39,18,10,37,9
16035,0,0,0,3,0
16036,7,4,1,15,3
16037,259,143,246,199,212
16038,97,26,68,138,117
16040,12,12,9,17,13
16041,15,10,30,42,31
16045,23,9,5,21,19
16046,2068,539,1816,733,1033
16048,0,0,0,6,3
16049,69,14,58,95,13
16050,46,3,16,34,8
16051,114,85,68,104,92
16052,160,61,42,59,114
16053,303,110,133,182,161
16054,2,2,3,23,4
16055,375,231,346,270,315
16056,189,70,116,154,151
16057,585,126,281,494,551
16059,502,187,435,364,355
16061,99,35,59,54,71
16063,645,176,382,218,366
16066,3812,949,3072,1419,1891
16101,656,288,571,1057,648
16102,164,168,171,153,164
16105,718,366,894,897,649
16110,2,7,2,7,5
16111,18,18,14,28,20
16112,19,18,39,44,91
16113,11,15,9,7,21
16114,13,3,4,16,9
16115,90,56,57,103,72
16116,87,10,100,63,40
16117,690,319,576,655,408
16120,87,24,46,48,33
16121,133,62,41,65,156
16123,218,114,94,69,51
16124,47,22,23,28,10
16125,741,374,349,602,427
16127,712,296,444,775,630
16130,32,19,21,53,31
16131,18,17,34,34,4
16133,42,18,17,38,38
16134,89,49,58,97,94
16136,23,12,8,19,10
16137,517,179,318,422,236
16140,0,0,0,0,12
16141,64,33,29,39,61
16142,308,93,242,255,240
16143,98,44,70,64,57
16145,79,24,33,84,42
16146,399,214,298,377,316
16148,1222,306,700,934,672
16150,221,132,247,201,209
16151,2,5,0,1,0
16153,93,21,30,92,32
16154,59,9,47,38,15
16155,36,5,0,13,2
16156,147,46,76,93,79
16157,53,37,96,86,47
16159,165,70,84,172,91
16160,8,0,12,14,10
16161,14,0,22,13,26
16201,577,363,238,743,483
16210,11,25,4,11,7
16212,2,0,0,6,2
16214,412,220,199,353,376
16217,5,3,2,5,0
16218,17,4,18,38,10
16222,52,26,19,72,18
16223,0,5,3,2,0
16224,12,21,5,42,6
16226,201,212,106,251,105
16228,0,2,10,8,8
16229,268,123,76,177,152
16230,0,1,5,11,11
16232,65,40,81,208,107
16233,13,9,24,40,58
16235,33,46,29,17,24
16236,19,0,0,0,11
16238,13,19,7,26,16
16239,70,19,74,66,60
16240,43,24,5,34,14
16242,105,57,71,136,69
16244,0,0,8,5,13
16246,5,1,13,4,3
16248,57,56,51,50,51
16249,57,65,27,47,62
16253,0,0,0,3,0
16254,140,86,94,183,108
16255,86,21,21,70,24
16256,11,5,15,13,20
16258,48,12,34,40,60
16259,48,12,25,34,9
16260,27,0,0,8,29
16262,101,26,59,92,45
16263,0,28,12,0,0
16301,515,274,286,480,370
16311,45,8,4,11,20
16312,0,3,0,0,0
16313,32,16,29,27,55
16314,137,48,75,113,104
16316,388,64,86,226,244
16317,14,21,14,44,25
16319,12,22,18,45,21
16321,0,0,4,0,0
16322,0,0,5,6,0
16323,458,343,303,488,306
16326,21,14,10,25,14
16327,114,41,52,96,35
16328,0,0,0,2,0
16329,0,3,11,13,16
16331,0,0,4,0,0
16332,3,0,0,0,0
16333,2,0,2,20,1
16334,6,2,17,12,6
16335,1595,630,631,1121,885
16340,38,19,22,49,20
16341,54,37,27,44,40
16342,45,17,8,44,44
16343,18,0,14,0,0
16344,9,0,6,10,1
16345,187,110,93,99,67
16346,145,51,106,179,77
16347,86,24,42,62,73
16350,79,34,29,45,54
16351,35,10,22,36,17
16352,0,0,0,0,6
16353,84,26,32,102,56
16354,270,266,106,350,270
16360,61,9,13,49,21
16361,0,0,0,11,9
16362,33,29,9,19,25
16364,20,19,17,42,29
16365,809,412,513,862,590
16370,10,0,0,0,4
16371,93,36,47,81,76
16372,19,2,3,9,2
16373,110,43,57,102,45
16374,58,35,31,63,36
16401,164,60,76,163,125
16402,18,18,8,6,21
16403,260,97,160,229,236
16404,62,34,25,67,47
16405,10,8,7,16,8
16406,100,59,37,98,66
16407,220,215,213,266,208
16410,44,22,20,61,25
16411,41,7,41,16,24
16412,856,290,331,618,496
16415,874,335,550,430,451
16416,10,0,0,4,0
16417,494,125,276,273,175
16420,16,7,11,5,7
16421,91,46,105,107,103
16422,4,0,0,0,0
16423,95,67,70,134,117
16424,122,54,62,119,80
16426,176,92,129,127,122
16427,0,6,2,0,3
16428,726,213,347,295,438
16433,354,84,52,274,64
16434,33,13,23,60,52
16435,40,32,36,58,43
16436,4,6,17,23,22
16438,269,115,80,255,192
16440,46,17,33,34,21
16441,480,139,193,308,260
16442,74,55,82,80,106
16443,54,0,27,44,36
16444,1,0,7,0,1
16501,55,1,11,24,136
16502,579,146,295,428,490
16503,300,124,125,75,216
16504,687,265,584,333,539
16505,1380,424,928,752,1024
16506,2022,634,1295,1185,1154
16507,345,144,86,84,363
16508,825,317,483,536,867
16509,2006,852,1314,1100,1415
16510,1027,369,839,776,1010
16511,567,156,344,380,453
16546,9,0,0,0,0
16563,15,0,0,0,0
16601,1057,524,708,585,828
16602,857,450,627,810,828
16611,60,30,68,67,58
16613,44,16,8,50,9
16616,8,0,2,0,4
16617,41,22,25,64,52
16620,1,1,10,12,8
16621,6,3,1,11,0
16622,0,0,0,4,0
16623,2,14,1,6,8
16624,11,7,3,3,4
16625,67,70,85,40,10
16627,48,14,10,54,15
16630,138,101,96,107,96
16633,8,0,0,15,0
16634,2,6,0,6,6
16635,413,256,301,332,350
16636,17,12,13,34,10
16637,0,20,16,34,19
16638,2,2,0,7,0
16639,27,8,9,6,0
16640,30,42,16,15,5
16641,84,20,55,28,34
16645,4,0,5,0,2
16646,93,57,37,71,68
16647,32,10,18,22,16
16648,1102,429,923,919,582
16650,58,5,38,51,14
16651,80,86,68,77,97
16652,792,191,199,464,678
16655,48,22,11,42,10
16656,12,10,27,29,8
16657,27,20,15,45,24
16659,3,3,0,12,4
16661,13,0,10,15,7
16662,156,95,154,234,147
16664,51,23,25,55,27
16665,8,1,0,17,1
16666,49,28,11,36,23
16667,26,13,17,29,20
16668,80,69,56,117,55
16669,109,18,17,50,57
16670,0,0,0,3,0
16671,8,1,10,24,10
16672,0,4,5,0,2
16673,103,68,81,167,119
16674,11,1,0,16,6
16678,67,38,32,112,55
16679,0,5,5,7,12
16680,0,7,3,3,13
16683,50,4,8,13,13
16685,0,3,2,9,0
16686,490,171,307,323,307
16689,19,0,0,35,0
16691,9,0,0,8,5
16692,31,7,5,7,4
16693,108,22,34,96,64
16694,2,5,0,2,0
16695,41,13,8,33,12
16699,25,0,8,0,28
16701,766,228,284,491,371
16720,22,7,18,17,16
16724,2,0,0,4,3
16726,5,0,5,4,0
16727,16,0,18,9,6
16729,23,4,6,39,6
16731,91,16,35,59,52
16732,8,0,0,12,3
16733,2,0,0,0,0
16734,4,2,0,13,2
16735,211,54,116,219,76
16738,76,20,56,20,39
16740,52,14,15,20,30
16743,126,70,55,137,79
16744,0,0,0,0,20
16745,35,6,4,3,17
16746,34,5,8,17,29
16748,54,22,37,99,53
16749,135,42,103,114,81
16750,19,4,6,16,18
16801,6082,769,1367,1240,3059
16803,4663,837,875,1238,1731
16820,48,14,4,15,34
16821,18,8,0,0,0
16822,44,25,24,69,19
16823,1764,320,764,764,1179
16825,0,6,0,0,0
16826,17,5,0,3,3
16827,673,133,192,203,400
16828,341,75,106,184,249
16829,8,0,5,12,0
16830,449,162,301,456,280
16832,42,3,0,18,20
16833,120,82,124,140,64
16835,11,3,7,2,10
16836,11,8,8,17,13
16837,9,0,0,0,0
16838,50,51,14,45,13
16839,9,11,0,5,0
16840,0,10,0,11,0
16841,204,58,53,122,138
16844,176,44,39,95,106
16845,6,6,7,28,18
16847,12,0,0,0,0
16848,0,0,10,13,11
16849,33,6,20,34,16
16851,75,15,14,100,127
16852,23,9,0,0,4
16853,11,0,0,0,0
16854,69,17,0,24,33
16858,39,33,19,83,43
16859,10,0,5,23,0
16860,47,11,27,15,0
16861,11,0,2,0,0
16863,0,1,6,6,3
16865,456,92,83,16,125
16866,279,108,143,271,171
16868,20,0,0,0,16
16870,998,210,325,193,423
16872,34,36,0,7,16
16874,24,4,15,28,25
16875,321,31,108,101,91
16876,2,2,0,5,5
16877,139,46,53,57,48
16878,18,14,0,34,59
16879,0,7,13,6,11
16881,42,21,17,18,30
16882,3,13,18,4,0
16901,564,242,294,403,424
16911,6,0,3,15,18
16912,44,20,45,85,71
16914,58,23,24,100,47
16915,298,92,110,316,220
16917,25,20,2,59,12
16920,38,7,25,53,42
16921,4,5,3,24,7
16922,47,17,20,65,27
16923,20,15,12,47,15
16925,62,27,31,101,48
16926,39,9,0,26,21
16927,3,3,0,14,18
16928,22,2,8,43,27
16929,55,31,40,79,88
16930,39,24,15,57,52
16932,24,9,2,19,22
16933,361,138,177,381,311
16935,42,22,12,55,19
16936,81,16,10,47,21
16937,4,0,0,5,0
16938,33,7,7,34,14
16939,2,4,4,7,11
16940,2,4,10,17,11
16941,0,0,0,5,0
16942,4,12,7,9,6
16943,0,0,2,13,1
16946,47,22,22,75,40
16947,133,82,94,205,113
16948,22,11,14,54,26
16950,70,23,28,82,54
17002,6,0,7,11,0
17003,470,169,286,387,349
17004,100,36,43,102,105
17005,11,8,6,0,19
17006,2,4,0,15,3
17007,615,83,215,298,310
17009,38,14,15,55,72
17011,3751,769,1800,1409,2260
17013,2039,413,1186,1201,2295
17015,1626,304,983,683,854
17016,13,8,0,26,52
17017,33,37,23,41,31
17018,232,34,147,138,226
17019,1162,388,700,697,798
17020,242,89,208,202,283
17021,3,9,0,18,9
17022,1722,668,983,1098,1221
17023,108,22,77,97,63
17024,103,27,54,30,25
17025,886,292,926,485,589
17026,88,26,34,150,72
17027,61,17,90,19,42
17028,214,25,41,76,64
17030,10,1,16,9,12
17032,292,113,142,184,128
17033,2575,659,614,961,1159
17034,98,4,34,31,69
17035,5,0,2,0,5
17036,3074,734,1351,536,1000
17037,33,5,22,28,7
17038,188,64,138,160,146
17039,0,5,0,0,0
17040,90,21,39,97,35
17042,2019,671,868,1348,1266
17043,384,84,325,216,161
17044,544,202,256,387,420
17045,99,28,33,65,63
17046,566,188,344,726,603
17047,48,8,22,34,14
17048,79,24,31,50,56
17049,38,9,3,109,71
17050,4070,888,2681,1710,2173
17051,73,46,43,65,67
17052,14,10,6,36,5
17053,263,45,159,138,104
17055,2749,730,2108,1675,1957
17056,7,0,0,0,0
17057,976,310,477,528,510
17058,73,34,15,77,43
17059,162,113,78,246,144
17060,22,2,11,12,6
17061,146,78,100,215,52
17062,143,51,80,98,91
17063,77,18,26,76,25
17064,30,12,42,45,52
17065,159,37,104,95,206
17066,54,26,48,166,101
17067,402,115,360,372,209
17068,99,29,90,163,153
17070,1312,230,744,613,827
17071,0,0,0,0,1
17073,111,122,31,69,51
17074,203,58,146,211,234
17075,2,0,0,0,2
17078,1760,459,894,1099,613
17080,10,5,5,3,9
17082,83,29,44,106,68
17084,159,108,91,223,72
17086,63,8,23,71,17
17087,86,52,59,37,43
17088,30,19,0,0,36
17090,195,72,128,88,139
17093,29,17,39,0,27
17094,73,11,17,97,38
17097,3,12,4,24,0
17098,31,18,23,43,28
17099,0,0,42,0,11
17101,117,0,84,22,120
17102,762,104,353,158,603
17103,341,55,171,119,179
17104,603,159,287,184,430
17109,1568,332,791,775,1022
17110,2137,425,990,708,1423
17111,2360,572,1336,1040,1491
17112,3073,951,1788,1433,2183
17113,268,26,217,194,192
17201,1087,363,649,969,720
17202,1159,524,903,932,865
17210,0,0,13,4,0
17211,11,1,0,0,3
17212,19,14,0,15,21
17213,22,14,3,18,5
17214,31,15,7,20,33
17215,3,0,0,4,4
17219,2,0,0,11,4
17220,13,13,5,18,0
17221,16,0,2,10,0
17222,539,74,345,493,483
17223,0,0,0,14,0
17224,32,26,4,16,8
17225,784,395,468,483,532
17228,9,4,4,32,23
17229,45,12,11,17,0
17233,125,49,97,140,91
17235,45,0,0,0,44
17236,177,45,106,207,160
17237,81,11,35,30,13
17238,37,20,19,58,21
17239,3,4,7,4,10
17240,90,38,49,72,56
17241,331,62,74,314,342
17243,11,19,6,28,31
17244,40,21,14,58,30
17247,49,14,39,0,60
17249,0,15,1,6,0
17251,0,0,11,13,4
17252,106,62,61,115,61
17253,0,0,5,14,4
17255,13,12,3,27,19
17256,15,0,0,0,15
17257,871,327,425,659,877
17260,13,2,3,30,11
17261,0,0,0,0,3
17262,19,28,12,22,24
17263,0,0,0,15,16
17264,24,17,3,57,29
17265,0,10,18,6,10
17266,7,8,4,13,13
17267,70,37,34,82,63
17268,943,461,728,822,715
17270,0,0,0,20,14
17271,0,13,0,12,3
17272,0,13,13,0,0
17301,62,30,42,101,55
17302,36,25,21,44,30
17304,135,27,69,74,59
17306,16,5,2,14,1
17307,202,75,110,196,175
17309,96,5,0,35,26
17311,0,0,12,8,9
17313,399,162,235,453,341
17314,83,17,78,143,66
17315,924,369,772,724,646
17316,536,121,162,219,253
17317,21,5,17,29,27
17318,10,0,28,0,0
17319,632,193,518,343,347
17320,512,180,213,284,339
17321,140,18,36,81,56
17322,152,137,125,95,73
17324,170,58,18,90,40
17325,1730,505,690,1017,1279
17327,347,70,308,151,295
17329,64,25,35,82,41
17331,1980,622,1293,1529,1349
17339,476,93,349,344,216
17340,382,156,257,418,372
17343,0,0,0,0,17
17344,54,39,49,51,40
17345,159,79,37,139,376
17347,211,99,258,255,128
17349,501,194,427,268,258
17350,325,163,212,330,225
17352,23,20,28,14,38
17353,153,103,69,149,143
17355,8,0,9,0,6
17356,724,362,622,708,752
17360,538,158,184,222,118
17361,335,138,150,271,245
17362,634,187,275,424,380
17363,687,230,294,231,243
17364,86,76,62,113,79
17365,82,14,18,75,36
17366,23,125,48,68,138
17368,244,53,55,189,142
